voom (cor)	0	0.002	0.0032
voom (cor)	0	0.05	0.0627
MAST	0	0.01	0.0056
MAST	0	0.002	0.001
MAST	0	0.05	0.0355
edgeR (QL)	0	0.01	0.0051
edgeR (QL)	0	0.002	7e-04
edgeR (QL)	0	0.05	0.0357
edgeR (LRT)	0	0.01	0.0088
edgeR (LRT)	0	0.002	0.0019
edgeR (LRT)	0	0.05	0.0495
DESeq2	0	0.01	0.0085
DESeq2	0	0.002	0.0018
DESeq2	0	0.05	0.0489
voom	0	0.01	0.0094
voom	0	0.002	0.0022
voom	0	0.05	0.0485
voom (cor)	0	0.01	0.0138
voom (cor)	0	0.002	0.0036
voom (cor)	0	0.05	0.0629
MAST	0	0.01	0.0058
MAST	0	0.002	0.0011
MAST	0	0.05	0.0353
edgeR (QL)	0.5	0.01	0.536
edgeR (QL)	0.5	0.002	0.4617
edgeR (QL)	0.5	0.05	0.6396
edgeR (LRT)	0.5	0.01	0.5731
edgeR (LRT)	0.5	0.002	0.5005
edgeR (LRT)	0.5	0.05	0.6671
DESeq2	0.5	0.01	0.5748
DESeq2	0.5	0.002	0.5
DESeq2	0.5	0.05	0.6653
voom	0.5	0.01	0.46
voom	0.5	0.002	0.3809
voom	0.5	0.05	0.5709
voom (cor)	0.5	0.01	0.0357
voom (cor)	0.5	0.002	0.0144
voom (cor)	0.5	0.05	0.0957
MAST	0.5	0.01	0.4334
MAST	0.5	0.002	0.3535
MAST	0.5	0.05	0.5418
monocle	0.5	0.01	0.5776
monocle	0.5	0.002	0.5021
monocle	0.5	0.05	0.6711
edgeR (QL)	0.5	0.01	0.5251
edgeR (QL)	0.5	0.002	0.4489
edgeR (QL)	0.5	0.05	0.6253
edgeR (LRT)	0.5	0.01	0.5636
edgeR (LRT)	0.5	0.002	0.4859
edgeR (LRT)	0.5	0.05	0.6551
DESeq2	0.5	0.01	0.5637
DESeq2	0.5	0.002	0.4879
DESeq2	0.5	0.05	0.6546
voom	0.5	0.01	0.4537
voom	0.5	0.002	0.3738
voom	0.5	0.05	0.5621
voom (cor)	0.5	0.01	0.033
voom (cor)	0.5	0.002	0.0129
voom (cor)	0.5	0.05	0.0879
MAST	0.5	0.01	0.4227
MAST	0.5	0.002	0.3437
MAST	0.5	0.05	0.5389
edgeR (QL)	0.5	0.01	0.5356
edgeR (QL)	0.5	0.002	0.4566
edgeR (QL)	0.5	0.05	0.6337
edgeR (LRT)	0.5	0.01	0.5692
edgeR (LRT)	0.5	0.002	0.4938
edgeR (LRT)	0.5	0.05	0.6621
DESeq2	0.5	0.01	0.5686
DESeq2	0.5	0.002	0.4942
DESeq2	0.5	0.05	0.6599
voom	0.5	0.01	0.4536
voom	0.5	0.002	0.3741
voom	0.5	0.05	0.5685
voom (cor)	0.5	0.01	0.0379
voom (cor)	0.5	0.002	0.0166
voom (cor)	0.5	0.05	0.0945
MAST	0.5	0.01	0.4255
MAST	0.5	0.002	0.3459
MAST	0.5	0.05	0.5447
edgeR (QL)	0.5	0.01	0.5269
edgeR (QL)	0.5	0.002	0.4505
edgeR (QL)	0.5	0.05	0.63
edgeR (LRT)	0.5	0.01	0.5631
edgeR (LRT)	0.5	0.002	0.485
edgeR (LRT)	0.5	0.05	0.6574
DESeq2	0.5	0.01	0.5625
DESeq2	0.5	0.002	0.4856
DESeq2	0.5	0.05	0.6545
voom	0.5	0.01	0.4422
voom	0.5	0.002	0.3649
voom	0.5	0.05	0.5576
voom (cor)	0.5	0.01	0.0351
voom (cor)	0.5	0.002	0.0154
voom (cor)	0.5	0.05	0.0878
MAST	0.5	0.01	0.4175
MAST	0.5	0.002	0.3356
MAST	0.5	0.05	0.5308
edgeR (QL)	0.5	0.01	0.5399
edgeR (QL)	0.5	0.002	0.4637
edgeR (QL)	0.5	0.05	0.64
edgeR (LRT)	0.5	0.01	0.5743
edgeR (LRT)	0.5	0.002	0.5029
edgeR (LRT)	0.5	0.05	0.667
DESeq2	0.5	0.01	0.5747
DESeq2	0.5	0.002	0.5028
DESeq2	0.5	0.05	0.6657
voom	0.5	0.01	0.4585
voom	0.5	0.002	0.3849
voom	0.5	0.05	0.5667
voom (cor)	0.5	0.01	0.0341
voom (cor)	0.5	0.002	0.0134
voom (cor)	0.5	0.05	0.0903
MAST	0.5	0.01	0.4322
MAST	0.5	0.002	0.3545
MAST	0.5	0.05	0.5387
edgeR (QL)	0.5	0.01	0.5227
edgeR (QL)	0.5	0.002	0.4486
edgeR (QL)	0.5	0.05	0.6319
edgeR (LRT)	0.5	0.01	0.5586
edgeR (LRT)	0.5	0.002	0.4867
edgeR (LRT)	0.5	0.05	0.6591
DESeq2	0.5	0.01	0.5566
DESeq2	0.5	0.002	0.4875
DESeq2	0.5	0.05	0.659
voom	0.5	0.01	0.4442
voom	0.5	0.002	0.3696
voom	0.5	0.05	0.5572
voom (cor)	0.5	0.01	0.0347
voom (cor)	0.5	0.002	0.0142
voom (cor)	0.5	0.05	0.0911
MAST	0.5	0.01	0.4118
MAST	0.5	0.002	0.3396
MAST	0.5	0.05	0.5275
edgeR (QL)	0.5	0.01	0.5242
edgeR (QL)	0.5	0.002	0.4502
edgeR (QL)	0.5	0.05	0.623
edgeR (LRT)	0.5	0.01	0.5572
edgeR (LRT)	0.5	0.002	0.4871
edgeR (LRT)	0.5	0.05	0.6538
DESeq2	0.5	0.01	0.5564
DESeq2	0.5	0.002	0.4882
DESeq2	0.5	0.05	0.6549
voom	0.5	0.01	0.4579
voom	0.5	0.002	0.3806
voom	0.5	0.05	0.563
voom (cor)	0.5	0.01	0.0332
